id,name,created_at,updated_at,
1,トップス,2019-07-15 00:00:00,2019-07-15 00:00:00,
2,ジャケット/アウター,2019-07-15 00:00:00,2019-07-15 00:00:00,
3,パンツ,2019-07-15 00:00:00,2019-07-15 00:00:00,
4,スカート,2019-07-15 00:00:00,2019-07-15 00:00:00,
5,ワンピース,2019-07-15 00:00:00,2019-07-15 00:00:00,
6,靴,2019-07-15 00:00:00,2019-07-15 00:00:00,
7,ルームウェア/パジャマ,2019-07-15 00:00:00,2019-07-15 00:00:00,
8,レッグウェア,2019-07-15 00:00:00,2019-07-15 00:00:00,
9,帽子,2019-07-15 00:00:00,2019-07-15 00:00:00,
10,バッグ,2019-07-15 00:00:00,2019-07-15 00:00:00,
11,アクセサリー,2019-07-15 00:00:00,2019-07-15 00:00:00,
12,ヘアアクセサリー,2019-07-15 00:00:00,2019-07-15 00:00:00,
13,小物,2019-07-15 00:00:00,2019-07-15 00:00:00,
14,時計,2019-07-15 00:00:00,2019-07-15 00:00:00,
15,ウィッグ/エクステ,2019-07-15 00:00:00,2019-07-15 00:00:00,
16,浴衣/水着,2019-07-15 00:00:00,2019-07-15 00:00:00,
17,スーツ/フォーマル/ドレス,2019-07-15 00:00:00,2019-07-15 00:00:00,
18,マタニティ,2019-07-15 00:00:00,2019-07-15 00:00:00,
19,その他,2019-07-15 00:00:00,2019-07-15 00:00:00,
20,メンズ,2019-07-15 00:00:00,2019-07-15 00:00:00,
21,スーツ,2019-07-15 00:00:00,2019-07-15 00:00:00,
22,水着,2019-07-15 00:00:00,2019-07-15 00:00:00,
23,アンダーウェア,2019-07-15 00:00:00,2019-07-15 00:00:00,
24,ベビー・キッズ,2019-07-15 00:00:00,2019-07-15 00:00:00,
25,ベビー服(女の子用) ~95cm,2019-07-15 00:00:00,2019-07-15 00:00:00,
26,ベビー服(男の子用) ~95cm,2019-07-15 00:00:00,2019-07-15 00:00:00,
27,ベビー服(男女兼用) ~95cm,2019-07-15 00:00:00,2019-07-15 00:00:00,
28,キッズ服(女の子用) 100cm~,2019-07-15 00:00:00,2019-07-15 00:00:00,
29,キッズ服(男の子用) 100cm~,2019-07-15 00:00:00,2019-07-15 00:00:00,
30,キッズ服(男女兼用) 100cm~,2019-07-15 00:00:00,2019-07-15 00:00:00,
31,キッズ靴,2019-07-15 00:00:00,2019-07-15 00:00:00,
32,子ども用ファッション小物,2019-07-15 00:00:00,2019-07-15 00:00:00,
33,おむつ/トイレ/バス,2019-07-15 00:00:00,2019-07-15 00:00:00,
34,外出/移動用品,2019-07-15 00:00:00,2019-07-15 00:00:00,
35,授乳/食事,2019-07-15 00:00:00,2019-07-15 00:00:00,
36,ベビー家具/寝具/室内用品,2019-07-15 00:00:00,2019-07-15 00:00:00,
37,おもちゃ,2019-07-15 00:00:00,2019-07-15 00:00:00,
38,行事/記念品,2019-07-15 00:00:00,2019-07-15 00:00:00,
39,インテリア・住まい・小物,2019-07-15 00:00:00,2019-07-15 00:00:00,
40,キッチン/食器,2019-07-15 00:00:00,2019-07-15 00:00:00,
41,ベッド/マットレス,2019-07-15 00:00:00,2019-07-15 00:00:00,
42,ソファ/ソファベッド,2019-07-15 00:00:00,2019-07-15 00:00:00,
43,椅子/チェア,2019-07-15 00:00:00,2019-07-15 00:00:00,
44,机/テーブル,2019-07-15 00:00:00,2019-07-15 00:00:00,
45,収納家具,2019-07-15 00:00:00,2019-07-15 00:00:00,
46,ラグ/カーペット/マット,2019-07-15 00:00:00,2019-07-15 00:00:00,
47,カーテン/ブラインド,2019-07-15 00:00:00,2019-07-15 00:00:00,
48,ライト/照明,2019-07-15 00:00:00,2019-07-15 00:00:00,
49,寝具,2019-07-15 00:00:00,2019-07-15 00:00:00,
50,インテリア小物,2019-07-15 00:00:00,2019-07-15 00:00:00,
51,季節/年中行事,2019-07-15 00:00:00,2019-07-15 00:00:00,
52,本・音楽・ゲーム,2019-07-15 00:00:00,2019-07-15 00:00:00,
53,本,2019-07-15 00:00:00,2019-07-15 00:00:00,
54,漫画,2019-07-15 00:00:00,2019-07-15 00:00:00,
55,雑誌,2019-07-15 00:00:00,2019-07-15 00:00:00,
56,CD,2019-07-15 00:00:00,2019-07-15 00:00:00,
57,DVD/ブルーレイ,2019-07-15 00:00:00,2019-07-15 00:00:00,
58,レコード,2019-07-15 00:00:00,2019-07-15 00:00:00,
59,テレビゲーム,2019-07-15 00:00:00,2019-07-15 00:00:00,
60,おもちゃ・ホビー・グッズ,2019-07-15 00:00:00,2019-07-15 00:00:00,
61,タレントグッズ,2019-07-15 00:00:00,2019-07-15 00:00:00,
62,コミック/アニメグッズ,2019-07-15 00:00:00,2019-07-15 00:00:00,
63,トレーディングカード,2019-07-15 00:00:00,2019-07-15 00:00:00,
64,フィギュア,2019-07-15 00:00:00,2019-07-15 00:00:00,
65,楽器/器材,2019-07-15 00:00:00,2019-07-15 00:00:00,
66,コレクション,2019-07-15 00:00:00,2019-07-15 00:00:00,
67,ミリタリー,2019-07-15 00:00:00,2019-07-15 00:00:00,
68,美術品,2019-07-15 00:00:00,2019-07-15 00:00:00,
69,アート用品,2019-07-15 00:00:00,2019-07-15 00:00:00,
70,コスメ・香水・美容,2019-07-15 00:00:00,2019-07-15 00:00:00,
71,ベースメイク,2019-07-15 00:00:00,2019-07-15 00:00:00,
72,メイクアップ,2019-07-15 00:00:00,2019-07-15 00:00:00,
73,ネイルケア,2019-07-15 00:00:00,2019-07-15 00:00:00,
74,香水,2019-07-15 00:00:00,2019-07-15 00:00:00,
75,スキンケア/基礎化粧品,2019-07-15 00:00:00,2019-07-15 00:00:00,
76,ヘアケア,2019-07-15 00:00:00,2019-07-15 00:00:00,
77,ボディケア,2019-07-15 00:00:00,2019-07-15 00:00:00,
78,オーラルケア,2019-07-15 00:00:00,2019-07-15 00:00:00,
79,リラクゼーション,2019-07-15 00:00:00,2019-07-15 00:00:00,
80,ダイエット,2019-07-15 00:00:00,2019-07-15 00:00:00,
81,家電・スマホ・カメラ,2019-07-15 00:00:00,2019-07-15 00:00:00,
82,スマートフォン/携帯電話,2019-07-15 00:00:00,2019-07-15 00:00:00,
83,スマホアクセサリー,2019-07-15 00:00:00,2019-07-15 00:00:00,
84,PC/タブレット,2019-07-15 00:00:00,2019-07-15 00:00:00,
85,カメラ,2019-07-15 00:00:00,2019-07-15 00:00:00,
86,テレビ/映像機器,2019-07-15 00:00:00,2019-07-15 00:00:00,
